/group/environment,data.qld.gov.au,"1,698","1,359",00:00:45,0,0.00%,16.02%,A$0.00
/group/property,data.qld.gov.au,"1,698","1,426",00:00:43,0,0.00%,8.01%,A$0.00
/dataset/pool-safety-register,data.qld.gov.au,"1,630",679,00:00:10,340,0.00%,16.69%,A$0.00
/dataset/queensland-housing-data-for-inclusion-in-the-2013-report-on-government-services-rogs,data.qld.gov.au,"1,630",679,00:00:28,68,0.00%,0.00%,A$0.00
/user/login,data.qld.gov.au,"1,630","1,223",00:00:32,815,0.00%,0.00%,A$0.00
/dataset/household-and-dwelling-projections,data.qld.gov.au,"1,562",340,00:03:40,68,0.00%,13.06%,A$0.00
/dataset/queensland-state-schools-geographic-information,data.qld.gov.au,"1,562",747,00:00:55,68,100.00%,4.35%,A$0.00
/organization/transport-and-main-roads,data.qld.gov.au,"1,562","1,087",00:02:29,68,0.00%,0.00%,A$0.00
/dataset/allocations-to-community-housing,data.qld.gov.au,"1,426",543,00:00:12,0,0.00%,0.00%,A$0.00
/data-event/opening-the-vault,data.qld.gov.au,"1,359","1,223",00:12:21,68,100.00%,30.02%,A$0.00
/dataset/crash-data-from-queensland-roads,data.qld.gov.au,"1,359",951,00:09:21,204,0.00%,15.01%,A$0.00
/dataset/social-housing-register,data.qld.gov.au,"1,359",883,00:00:34,136,50.00%,15.01%,A$0.00
/group/construction-and-housing,data.qld.gov.au,"1,359","1,019",00:01:19,0,0.00%,0.00%,A$0.00
/dataset?page=5,data.qld.gov.au,"1,291",815,00:01:20,0,0.00%,0.00%,A$0.00
/dataset?tags=Queensland+Globe,data.qld.gov.au,"1,291",883,00:00:14,0,0.00%,0.00%,A$0.00
/dataset/census-of-the-queensland-flora-2013,data.qld.gov.au,"1,291","1,087",00:00:17,"1,087",31.28%,42.06%,A$0.00
/group/facilities-and-structures,data.qld.gov.au,"1,291",883,00:00:15,0,0.00%,0.00%,A$0.00
/group/statistics,data.qld.gov.au,"1,291","1,223",00:01:10,0,0.00%,21.07%,A$0.00
/dataset?q=transport,data.qld.gov.au,"1,223",951,00:01:00,68,0.00%,5.56%,A$0.00
/dataset/land-use-mapping-series,data.qld.gov.au,"1,223",883,00:16:24,136,50.00%,11.12%,A$0.00
/dataset/qps-ict-dashboard,data.qld.gov.au,"1,223",408,00:00:19,0,0.00%,5.56%,A$0.00
/dataset/traffic-census-for-the-queensland-state-declared-road-network/resource/d4f85272-e616-4829-96e7-c375710d17b7,data.qld.gov.au,"1,223","1,087",00:02:34,68,0.00%,33.36%,A$0.00
/data-event/competition-info,data.qld.gov.au,"1,155",951,00:01:20,408,66.67%,41.13%,A$0.00
/dataset/coal-seam-gas-environmental-authorities-2012,data.qld.gov.au,"1,155",611,00:00:43,204,0.00%,0.00%,A$0.00
/dataset/crime-statistics/resource/6ef17b5a-5ca7-46c9-a685-db48224e7ac6,data.qld.gov.au,"1,155",340,00:01:38,0,0.00%,5.89%,A$0.00
/dataset/qps-ict-dashboard/resource/b1d085f9-dccf-48ec-9d8e-2b540c8267bb,data.qld.gov.au,"1,155",408,00:01:34,0,0.00%,17.66%,A$0.00
/dataset/selected-hospital-activity-indicators,data.qld.gov.au,"1,155",204,00:00:07,0,0.00%,0.00%,A$0.00
